"ID_original","ID_new"
222,1
1135,2
1175,3
1201,4
1371,5
1398,6
1421,7
1477,8
1482,9
1537,10
1543,11
1611,12
1629,13
1669,14
1809,15
1810,16
1968,17
2007,18
2038,19
2105,20
2159,21
2226,22
2242,23
2269,24
2282,25
2302,26
2377,27
2413,28
2488,29
2579,30
2593,31
2658,32
2675,33
2761,34
2767,35
2799,36
2895,37
2937,38
3001,39
3076,40
3143,41
3171,42
3279,43
3287,44
3295,45
3331,46
3416,47
3430,48
3467,49
3566,50
3570,51
3583,52
3689,53
3702,54
3736,55
3756,56
3762,57
3790,58
3896,59
3914,60
3930,61
3936,62
3937,63
3953,64
3987,65
4010,66
4063,67
4083,68
4139,69
4168,70
4217,71
4239,72
4279,73
4392,74
4423,75
4443,76
4450,77
4455,78
4485,79
4490,80
4573,81
4616,82
4678,83
4823,84
4913,85
5010,86
5102,87
5166,88
5191,89
5197,90
5338,91
5359,92
5465,93
5467,94
5486,95
5917,96
5922,97
6110,98
6392,99
6407,100
6451,101
6472,102
6486,103
6489,104
6494,105
6503,106
6540,107
6583,108
6612,109
6665,110
6676,111
6678,112
6751,113
6778,114
6821,115
6853,116
6881,117
6892,118
6992,119
7069,120
7085,121
7118,122
7141,123
7162,124
7253,125
7257,126
7312,127
7356,128
7376,129
7404,130
7413,131
7475,132
7579,133
7587,134
7703,135
7729,136
7744,137
7745,138
7757,139
7932,140
7972,141
8024,142
8118,143
8137,144
8211,145
8289,146
8342,147
8350,148
8497,149
8534,150
8604,151
8650,152
8730,153
8792,154
8842,155
8920,156
9052,157
9179,158
9425,159
9740,160
9837,161
16475,162
22854,163
26291,164
